
THE FULL IAU 2000A NUTATION SERIES DATA - 1365 TERMS

The i column is NOT part of the actual data.  It is the reference index number
of the nutation series terms to which the subsequent 20 data elements apply.

=====================================================================================================================================================
                      FUNDAMENTAL ARGUMENT MULTIPLIERS                         LONGITUDE COMPONENTS IN ARC SEC      OBLIQUITY COMPONENTS IN ARC SEC
i    m01  m02  m03  m04  m05  m06  m07  m08  m09  m10  m11  m12  m13  m14        AA           BB          CC          DD           EE          FF
73     0    0    0    0    0    0    0    0    0    0   -2    2   -2    1    -0.0001283   0.0         0.0          0.0000672   0.0         0.0
74     0    0    0    0    0    0    0    0    0    1    0    2    2    1    -0.0001331   0.0         0.0000008    0.0000663   0.0         0.0000004
75     0    0    0    0    0    0    0    0    0   -2    0    2    2    2     0.0001383   0.0        -0.0000002   -0.0000594   0.0        -0.0000002
76     0    0    0    0    0    0    0    0    0   -1    0    0    0    2     0.0001405   0.0         0.0000004   -0.0000610   0.0         0.0000002
77     0    0    0    0    0    0    0    0    0    1    1    2   -2    2     0.0001290   0.0         0.0         -0.0000556   0.0         0.0
78     0    0    0    0    0    0    0    0    0   -2    0    2    4    2    -0.0001214   0.0         0.0000005    0.0000518   0.0         0.0000002
79     0    0    0    0    0    0    0    0    0   -1    0    4    0    2     0.0001146   0.0        -0.0000003   -0.0000490   0.0        -0.0000001
80     0    0    0    0    0    0    0    0    0    2    0    2   -2    1     0.0001019   0.0        -0.0000001   -0.0000527   0.0        -0.0000001
81     0    0    0    0    0    0    0    0    0    2    0    2    2    2    -0.0001100   0.0         0.0000009    0.0000465   0.0         0.0000004
82     0    0    0    0    0    0    0    0    0    1    0    0    2    1    -0.0000970   0.0         0.0000002    0.0000496   0.0         0.0000001
83     0    0    0    0    0    0    0    0    0    3    0    0    0    0     0.0001575   0.0        -0.0000006   -0.0000050   0.0         0.0
84     0    0    0    0    0    0    0    0    0    3    0    2   -2    2     0.0000934   0.0        -0.0000003   -0.0000399   0.0        -0.0000001
85     0    0    0    0    0    0    0    0    0    0    0    4   -2    2     0.0000922   0.0        -0.0000001   -0.0000395   0.0        -0.0000001
86     0    0    0    0    0    0    0    0    0    0    1    2    0    1     0.0000815   0.0        -0.0000001   -0.0000422   0.0        -0.0000001
87     0    0    0    0    0    0    0    0    0    0    0   -2    2    1     0.0000834   0.0         0.0000002   -0.0000440   0.0         0.0000001
88     0    0    0    0    0    0    0    0    0    0    0    2   -2    3     0.0001248   0.0         0.0         -0.0000170   0.0         0.0000001
89     0    0    0    0    0    0    0    0    0   -1    0    0    4    0     0.0001338   0.0        -0.0000005   -0.0000039   0.0         0.0
90     0    0    0    0    0    0    0    0    0    2    0   -2    0    1     0.0000716   0.0        -0.0000002   -0.0000389   0.0        -0.0000001
91     0    0    0    0    0    0    0    0    0   -2    0    0    4    0     0.0001282   0.0        -0.0000003   -0.0000023   0.0         0.0000001
92     0    0    0    0    0    0    0    0    0   -1   -1    0    2    1     0.0000742   0.0         0.0000001   -0.0000391   0.0         0.0
93     0    0    0    0    0    0    0    0    0   -1    0    0    1    1     0.0001020   0.0        -0.0000025   -0.0000495   0.0        -0.0000010
94     0    0    0    0    0    0    0    0    0    0    1    0    0    2     0.0000715   0.0        -0.0000004   -0.0000326   0.0         0.0000002
95     0    0    0    0    0    0    0    0    0    0    0   -2    0    1    -0.0000666   0.0        -0.0000003    0.0000369   0.0        -0.0000001
96     0    0    0    0    0    0    0    0    0    0   -1    2    0    1    -0.0000667   0.0         0.0000001    0.0000346   0.0         0.0000001
97     0    0    0    0    0    0    0    0    0    0    0    2   -1    2    -0.0000704   0.0         0.0          0.0000304   0.0         0.0
98     0    0    0    0    0    0    0    0    0    0    0    2    4    2    -0.0000694   0.0         0.0000005    0.0000294   0.0         0.0000002
99     0    0    0    0    0    0    0    0    0   -2   -1    0    2    0    -0.0001014   0.0        -0.0000001    0.0000004   0.0        -0.0000001
100    0    0    0    0    0    0    0    0    0    1    1    0   -2    1    -0.0000585   0.0        -0.0000002    0.0000316   0.0        -0.0000001
101    0    0    0    0    0    0    0    0    0   -1    1    0    2    0    -0.0000949   0.0         0.0000001    0.0000008   0.0        -0.0000001
102    0    0    0    0    0    0    0    0    0   -1    1    0    1    2    -0.0000595   0.0         0.0          0.0000258   0.0         0.0
103    0    0    0    0    0    0    0    0    0    1   -1    0    0    1     0.0000528   0.0         0.0         -0.0000279   0.0         0.0
104    0    0    0    0    0    0    0    0    0    1   -1    2    2    2    -0.0000590   0.0         0.0000004    0.0000252   0.0         0.0000002
105    0    0    0    0    0    0    0    0    0   -1    1    2    2    2     0.0000570   0.0        -0.0000002   -0.0000244   0.0        -0.0000001
106    0    0    0    0    0    0    0    0    0    3    0    2    0    1    -0.0000502   0.0         0.0000003    0.0000250   0.0         0.0000002
107    0    0    0    0    0    0    0    0    0    0    1   -2    2    0    -0.0000875   0.0         0.0000001    0.0000029   0.0         0.0
108    0    0    0    0    0    0    0    0    0   -1    0    0   -2    1    -0.0000492   0.0        -0.0000003    0.0000275   0.0        -0.0000001
109    0    0    0    0    0    0    0    0    0    0    1    2    2    2     0.0000535   0.0        -0.0000002   -0.0000228   0.0        -0.0000001
110    0    0    0    0    0    0    0    0    0   -1   -1    2    2    1    -0.0000467   0.0         0.0000001    0.0000240   0.0         0.0000001
111    0    0    0    0    0    0    0    0    0    0   -1    0    0    2     0.0000591   0.0         0.0         -0.0000253   0.0         0.0
112    0    0    0    0    0    0    0    0    0    1    0    2   -4    1    -0.0000453   0.0        -0.0000001    0.0000244   0.0        -0.0000001
113    0    0    0    0    0    0    0    0    0   -1    0   -2    2    0     0.0000766   0.0         0.0000001    0.0000009   0.0         0.0
114    0    0    0    0    0    0    0    0    0    0   -1    2    2    1    -0.0000446   0.0         0.0000002    0.0000225   0.0         0.0000001
115    0    0    0    0    0    0    0    0    0    2   -1    2    0    2    -0.0000488   0.0         0.0000002    0.0000207   0.0         0.0000001
116    0    0    0    0    0    0    0    0    0    0    0    0    2    2    -0.0000468   0.0         0.0          0.0000201   0.0         0.0
117    0    0    0    0    0    0    0    0    0    1   -1    2    0    1    -0.0000421   0.0         0.0000001    0.0000216   0.0         0.0000001
118    0    0    0    0    0    0    0    0    0   -1    1    2    0    2     0.0000463   0.0         0.0         -0.0000200   0.0         0.0
119    0    0    0    0    0    0    0    0    0    0    1    0    2    0    -0.0000673   0.0         0.0000002    0.0000014   0.0         0.0
120    0    0    0    0    0    0    0    0    0    0   -1   -2    2    0     0.0000658   0.0         0.0         -0.0000002   0.0         0.0
121    0    0    0    0    0    0    0    0    0    0    3    2   -2    2    -0.0000438   0.0         0.0          0.0000188   0.0         0.0
122    0    0    0    0    0    0    0    0    0    0    0    0    1    1    -0.0000390   0.0         0.0          0.0000205   0.0         0.0
123    0    0    0    0    0    0    0    0    0   -1    0    2    2    0     0.0000639  -0.0000011  -0.0000002   -0.0000019   0.0         0.0
124    0    0    0    0    0    0    0    0    0    2    1    2    0    2     0.0000412   0.0        -0.0000002   -0.0000176   0.0        -0.0000001
125    0    0    0    0    0    0    0    0    0    1    1    0    0    1    -0.0000361   0.0         0.0          0.0000189   0.0         0.0
126    0    0    0    0    0    0    0    0    0    1    1    2    0    1     0.0000360   0.0        -0.0000001   -0.0000185   0.0        -0.0000001
127    0    0    0    0    0    0    0    0    0    2    0    0    2    0     0.0000588   0.0        -0.0000003   -0.0000024   0.0         0.0
128    0    0    0    0    0    0    0    0    0    1    0   -2    2    0    -0.0000578   0.0         0.0000001    0.0000005   0.0         0.0
129    0    0    0    0    0    0    0    0    0   -1    0    0    2    2    -0.0000396   0.0         0.0          0.0000171   0.0         0.0
130    0    0    0    0    0    0    0    0    0    0    1    0    1    0     0.0000565   0.0        -0.0000001   -0.0000006   0.0         0.0
131    0    0    0    0    0    0    0    0    0    0    1    0   -2    1    -0.0000335   0.0        -0.0000001    0.0000184   0.0        -0.0000001
132    0    0    0    0    0    0    0    0    0   -1    0    2   -2    2     0.0000357   0.0         0.0000001   -0.0000154   0.0         0.0
133    0    0    0    0    0    0    0    0    0    0    0    0   -1    1     0.0000321   0.0         0.0000001   -0.0000174   0.0         0.0
134    0    0    0    0    0    0    0    0    0   -1    1    0    0    1    -0.0000301   0.0        -0.0000001    0.0000162   0.0         0.0
135    0    0    0    0    0    0    0    0    0    1    0    2   -1    2    -0.0000334   0.0         0.0          0.0000144   0.0         0.0
136    0    0    0    0    0    0    0    0    0    1   -1    0    2    0     0.0000493   0.0        -0.0000002   -0.0000015   0.0         0.0
137    0    0    0    0    0    0    0    0    0    0    0    0    4    0     0.0000494   0.0        -0.0000002   -0.0000019   0.0         0.0
138    0    0    0    0    0    0    0    0    0    1    0    2    1    2     0.0000337   0.0        -0.0000001   -0.0000143   0.0        -0.0000001
139    0    0    0    0    0    0    0    0    0    0    0    2    1    1     0.0000280   0.0        -0.0000001   -0.0000144   0.0         0.0
140    0    0    0    0    0    0    0    0    0    1    0    0   -2    2     0.0000309   0.0         0.0000001   -0.0000134   0.0         0.0
141    0    0    0    0    0    0    0    0    0   -1    0    2    4    1    -0.0000263   0.0         0.0000002    0.0000131   0.0         0.0000001
142    0    0    0    0    0    0    0    0    0    1    0   -2    0    1     0.0000253   0.0         0.0000001   -0.0000138   0.0         0.0
143    0    0    0    0    0    0    0    0    0    1    1    2   -2    1     0.0000245   0.0         0.0         -0.0000128   0.0         0.0
144    0    0    0    0    0    0    0    0    0    0    0    2    2    0     0.0000416   0.0        -0.0000002   -0.0000017   0.0         0.0
145    0    0    0    0    0    0    0    0    0   -1    0    2   -1    1    -0.0000229   0.0         0.0          0.0000128   0.0         0.0
146    0    0    0    0    0    0    0    0    0   -2    0    2    2    1     0.0000231   0.0         0.0         -0.0000120   0.0         0.0
147    0    0    0    0    0    0    0    0    0    4    0    2    0    2    -0.0000259   0.0         0.0000002    0.0000109   0.0         0.0000001
148    0    0    0    0    0    0    0    0    0    2   -1    0    0    0     0.0000375   0.0        -0.0000001   -0.0000008   0.0         0.0
149    0    0    0    0    0    0    0    0    0    2    1    2   -2    2     0.0000252   0.0         0.0         -0.0000108   0.0         0.0
150    0    0    0    0    0    0    0    0    0    0    1    2    1    2    -0.0000245   0.0         0.0000001    0.0000104   0.0         0.0
151    0    0    0    0    0    0    0    0    0    1    0    4   -2    2     0.0000243   0.0        -0.0000001   -0.0000104   0.0         0.0
152    0    0    0    0    0    0    0    0    0   -1   -1    0    0    1     0.0000208   0.0         0.0000001   -0.0000112   0.0         0.0
153    0    0    0    0    0    0    0    0    0    0    1    0    2    1     0.0000199   0.0         0.0         -0.0000102   0.0         0.0
154    0    0    0    0    0    0    0    0    0   -2    0    2    4    1    -0.0000208   0.0         0.0000001    0.0000105   0.0         0.0
155    0    0    0    0    0    0    0    0    0    2    0    2    0    0     0.0000335   0.0        -0.0000002   -0.0000014   0.0         0.0
156    0    0    0    0    0    0    0    0    0    1    0    0    1    0    -0.0000325   0.0         0.0000001    0.0000007   0.0         0.0
157    0    0    0    0    0    0    0    0    0   -1    0    0    4    1    -0.0000187   0.0         0.0          0.0000096   0.0         0.0
158    0    0    0    0    0    0    0    0    0   -1    0    4    0    1     0.0000197   0.0        -0.0000001   -0.0000100   0.0         0.0
159    0    0    0    0    0    0    0    0    0    2    0    2    2    1    -0.0000192   0.0         0.0000002    0.0000094   0.0         0.0000001
160    0    0    0    0    0    0    0    0    0    0    0    2   -3    2    -0.0000188   0.0         0.0          0.0000083   0.0         0.0
161    0    0    0    0    0    0    0    0    0   -1   -2    0    2    0     0.0000276   0.0         0.0         -0.0000002   0.0         0.0
162    0    0    0    0    0    0    0    0    0    2    1    0    0    0    -0.0000286   0.0         0.0000001    0.0000006   0.0         0.0
163    0    0    0    0    0    0    0    0    0    0    0    4    0    2     0.0000186   0.0        -0.0000001   -0.0000079   0.0         0.0
164    0    0    0    0    0    0    0    0    0    0    0    0    0    3    -0.0000219   0.0         0.0          0.0000043   0.0         0.0
165    0    0    0    0    0    0    0    0    0    0    3    0    0    0     0.0000276   0.0         0.0          0.0000002   0.0         0.0
166    0    0    0    0    0    0    0    0    0    0    0    2   -4    1    -0.0000153   0.0        -0.0000001    0.0000084   0.0         0.0
167    0    0    0    0    0    0    0    0    0    0   -1    0    2    1    -0.0000156   0.0         0.0          0.0000081   0.0         0.0
168    0    0    0    0    0    0    0    0    0    0    0    0    4    1    -0.0000154   0.0         0.0000001    0.0000078   0.0         0.0
169    0    0    0    0    0    0    0    0    0   -1   -1    2    4    2    -0.0000174   0.0         0.0000001    0.0000075   0.0         0.0
170    0    0    0    0    0    0    0    0    0    1    0    2    4    2    -0.0000163   0.0         0.0000002    0.0000069   0.0         0.0000001
171    0    0    0    0    0    0    0    0    0   -2    2    0    2    0    -0.0000228   0.0         0.0          0.0000001   0.0         0.0
172    0    0    0    0    0    0    0    0    0   -2   -1    2    0    1     0.0000091   0.0        -0.0000004   -0.0000054   0.0        -0.0000002
173    0    0    0    0    0    0    0    0    0   -2    0    0    2    2     0.0000175   0.0         0.0         -0.0000075   0.0         0.0
174    0    0    0    0    0    0    0    0    0   -1   -1    2    0    2    -0.0000159   0.0         0.0          0.0000069   0.0         0.0
175    0    0    0    0    0    0    0    0    0    0    0    4   -2    1     0.0000141   0.0         0.0         -0.0000072   0.0         0.0
176    0    0    0    0    0    0    0    0    0    3    0    2   -2    1     0.0000147   0.0         0.0         -0.0000075   0.0         0.0
177    0    0    0    0    0    0    0    0    0   -2   -1    0    2    1    -0.0000132   0.0         0.0          0.0000069   0.0         0.0
178    0    0    0    0    0    0    0    0    0    1    0    0   -1    1     0.0000159   0.0        -0.0000028   -0.0000054   0.0         0.0000011
179    0    0    0    0    0    0    0    0    0    0   -2    0    2    0     0.0000213   0.0         0.0         -0.0000004   0.0         0.0
180    0    0    0    0    0    0    0    0    0   -2    0    0    4    1     0.0000123   0.0         0.0         -0.0000064   0.0         0.0
181    0    0    0    0    0    0    0    0    0   -3    0    0    0    1    -0.0000118   0.0        -0.0000001    0.0000066   0.0         0.0
182    0    0    0    0    0    0    0    0    0    1    1    2    2    2     0.0000144   0.0        -0.0000001   -0.0000061   0.0         0.0
183    0    0    0    0    0    0    0    0    0    0    0    2    4    1    -0.0000121   0.0         0.0000001    0.0000060   0.0         0.0
184    0    0    0    0    0    0    0    0    0    3    0    2    2    2    -0.0000134   0.0         0.0000001    0.0000056   0.0         0.0000001
185    0    0    0    0    0    0    0    0    0   -1    1    2   -2    1    -0.0000105   0.0         0.0          0.0000057   0.0         0.0
186    0    0    0    0    0    0    0    0    0    2    0    0   -4    1    -0.0000102   0.0         0.0          0.0000056   0.0         0.0
187    0    0    0    0    0    0    0    0    0    0    0    0   -2    2     0.0000120   0.0         0.0         -0.0000052   0.0         0.0
188    0    0    0    0    0    0    0    0    0    2    0    2   -4    1     0.0000101   0.0         0.0         -0.0000054   0.0         0.0
189    0    0    0    0    0    0    0    0    0   -1    1    0    2    1    -0.0000113   0.0         0.0          0.0000059   0.0         0.0
190    0    0    0    0    0    0    0    0    0    0    0    2   -1    1    -0.0000106   0.0         0.0          0.0000061   0.0         0.0
191    0    0    0    0    0    0    0    0    0    0   -2    2    2    2    -0.0000129   0.0         0.0000001    0.0000055   0.0         0.0
192    0    0    0    0    0    0    0    0    0    2    0    0    2    1    -0.0000114   0.0         0.0          0.0000057   0.0         0.0
193    0    0    0    0    0    0    0    0    0    4    0    2   -2    2     0.0000113   0.0        -0.0000001   -0.0000049   0.0         0.0
194    0    0    0    0    0    0    0    0    0    2    0    0   -2    2    -0.0000102   0.0         0.0          0.0000044   0.0         0.0
195    0    0    0    0    0    0    0    0    0    0    2    0    0    1    -0.0000094   0.0         0.0          0.0000051   0.0         0.0
196    0    0    0    0    0    0    0    0    0    1    0    0   -4    1    -0.0000100   0.0        -0.0000001    0.0000056   0.0         0.0
197    0    0    0    0    0    0    0    0    0    0    2    2   -2    1     0.0000087   0.0         0.0         -0.0000047   0.0         0.0
198    0    0    0    0    0    0    0    0    0   -3    0    0    4    0     0.0000161   0.0         0.0         -0.0000001   0.0         0.0
199    0    0    0    0    0    0    0    0    0   -1    1    2    0    1     0.0000096   0.0         0.0         -0.0000050   0.0         0.0
200    0    0    0    0    0    0    0    0    0   -1   -1    0    4    0     0.0000151   0.0        -0.0000001   -0.0000005   0.0         0.0
201    0    0    0    0    0    0    0    0    0   -1   -2    2    2    2    -0.0000104   0.0         0.0          0.0000044   0.0         0.0
202    0    0    0    0    0    0    0    0    0   -2   -1    2    4    2    -0.0000110   0.0         0.0          0.0000048   0.0         0.0
203    0    0    0    0    0    0    0    0    0    1   -1    2    2    1    -0.0000100   0.0         0.0000001    0.0000050   0.0         0.0
204    0    0    0    0    0    0    0    0    0   -2    1    0    2    0     0.0000092   0.0        -0.0000005    0.0000012   0.0        -0.0000002
205    0    0    0    0    0    0    0    0    0   -2    1    2    0    1     0.0000082   0.0         0.0         -0.0000045   0.0         0.0
206    0    0    0    0    0    0    0    0    0    2    1    0   -2    1     0.0000082   0.0         0.0         -0.0000045   0.0         0.0
207    0    0    0    0    0    0    0    0    0   -3    0    2    0    1    -0.0000078   0.0         0.0          0.0000041   0.0         0.0
208    0    0    0    0    0    0    0    0    0   -2    0    2   -2    1    -0.0000077   0.0         0.0          0.0000043   0.0         0.0
209    0    0    0    0    0    0    0    0    0   -1    1    0    2    2     0.0000002   0.0         0.0          0.0000054   0.0         0.0
210    0    0    0    0    0    0    0    0    0    0   -1    2   -1    2     0.0000094   0.0         0.0         -0.0000040   0.0         0.0
211    0    0    0    0    0    0    0    0    0   -1    0    4   -2    2    -0.0000093   0.0         0.0          0.0000040   0.0         0.0
212    0    0    0    0    0    0    0    0    0    0   -2    2    0    2    -0.0000083   0.0         0.0000010    0.0000040   0.0        -0.0000002
